Non-GPO,GPO
dl36.creditperiodmedian,financials.quartiles.full_quartiles.credit_period_median
dl36.creditperiodupper,financials.quartiles.full_quartiles.credit_period_upper
dl36.credrsdebtrslower,financials.quartiles.full_quartiles.trade_credrs_debtrs_lower
dl36.credrsdebtrsmedian,financials.quartiles.full_quartiles.trade_credrs_debtrs_median
dl36.credrsdebtrsupper,financials.quartiles.full_quartiles.trade_credrs_debtrs_upper
dl36.currratiolower ,financials.quartiles.full_quartiles.current_ratio_lower
dl36.currratiomedian,financials.quartiles.full_quartiles.current_ratio_median
dl36.currratioupper ,financials.quartiles.full_quartiles.current_ratio_upper
dl36.dateofaccs_dd  ,financials.quartiles.full_quartiles.date_of_accounts
dl36.dateofaccs_mm  ,financials.quartiles.full_quartiles.date_of_accounts
dl36.dateofaccs_yyyy,financials.quartiles.full_quartiles.date_of_accounts
dl36.debtgearinglower,financials.quartiles.full_quartiles.debt_gearing_lower
dl36.debtgearingmedian,financials.quartiles.full_quartiles.debt_gearing_median
dl36.debtgearingupper,financials.quartiles.full_quartiles.debt_gearing_upper
dl36.empremunsaleslower,financials.quartiles.full_quartiles.emp_remuneration_sales_lower
dl36.empremunsalesmedian,financials.quartiles.full_quartiles.emp_remuneration_sales_median
dl36.empremunsalesupper,financials.quartiles.full_quartiles.emp_remuneration_sales_upper
dl36.equitygearinglower,financials.quartiles.full_quartiles.equity_gearing_lower
dl36.equitygearingmedian,financials.quartiles.full_quartiles.equity_gearing_median
dl36.equitygearingupper,financials.quartiles.full_quartiles.equity_gearing_upper
dl36.interestcoverlower,financials.quartiles.full_quartiles.interest_cover_lower
dl36.interestcovermedian,financials.quartiles.full_quartiles.interest_cover_median
dl36.interestcoverupper,financials.quartiles.full_quartiles.interest_cover_upper
dl36.lensicdesc1980 ,?
dl36.lensicdesc1992 ,?
dl36.numofcompanies ,financials.quartiles.full_quartiles.num_companies
dl36.pretaxprofmarglower,financials.quartiles.full_quartiles.pre_tax_margin_lower
dl36.pretaxprofmargmedian,financials.quartiles.full_quartiles.pre_tax_margin_median
dl36.pretaxprofmargupper,financials.quartiles.full_quartiles.pre_tax_margin_upper
dl36.profperemplower,financials.quartiles.full_quartiles.profit_per_emp_lower
dl36.profperempmedian,financials.quartiles.full_quartiles.profit_per_emp_median
dl36.profperempupper,financials.quartiles.full_quartiles.profit_per_emp_upper
dl36.regnumber      ,?
dl36.returnonasslower,financials.quartiles.full_quartiles.return_on_assets_lower
dl36.returnonassmedian,financials.quartiles.full_quartiles.return_on_assets_median
dl36.returnonassupper,financials.quartiles.full_quartiles.return_on_assets_upper
dl36.returnoncaplower,financials.quartiles.full_quartiles.return_on_capital_lower
dl36.returnoncapmedian,financials.quartiles.full_quartiles.return_on_capital_median
dl36.returnoncapupper,financials.quartiles.full_quartiles.return_on_capital_upper
dl36.returnonshfndslower,financials.quartiles.full_quartiles.return_on_shareholders_funds_lower
dl36.returnonshfndsmedian,financials.quartiles.full_quartiles.return_on_shareholders_funds_median
dl36.returnonshfndsupper,financials.quartiles.full_quartiles.return_on_shareholders_funds_upper
dl36.salesperemplower,financials.quartiles.full_quartiles.turnover_per_emp_lower
dl36.salesperempmedian,financials.quartiles.full_quartiles.turnover_per_emp_median
dl36.salesperempupper,financials.quartiles.full_quartiles.turnover_per_emp_upper
dl36.salestangasstslower,financials.quartiles.full_quartiles.sales_tang_assets_lower
dl36.salestangasstsmedian,financials.quartiles.full_quartiles.sales_tang_assets_median
dl36.salestangasstsupper,financials.quartiles.full_quartiles.sales_tang_assets_upper
