weights,score
"(4, 10, 8)",0.1788756388415673
"(2, 5, 4)",0.1788756388415673
"(5, 8, 10)",0.17717206132879046
"(3, 8, 6)",0.1737649063032368
"(5, 7, 10)",0.1737649063032368
"(4, 6, 8)",0.1737649063032368
"(5, 9, 9)",0.1737649063032368
"(2, 3, 4)",0.1737649063032368
"(4, 5, 9)",0.17206132879045996
"(4, 5, 10)",0.17206132879045996
"(1, 3, 2)",0.1686541737649063
"(2, 6, 4)",0.1686541737649063
"(3, 9, 6)",0.1686541737649063
"(3, 4, 6)",0.16695059625212946
"(3, 10, 6)",0.16524701873935263
"(5, 8, 9)",0.16524701873935263
"(5, 10, 9)",0.16524701873935263
"(4, 5, 8)",0.1635434412265758
"(2, 7, 4)",0.16183986371379896
"(5, 6, 10)",0.16183986371379896
"(4, 6, 7)",0.16183986371379896
"(5, 7, 9)",0.16183986371379896
"(4, 8, 7)",0.16183986371379896
"(4, 9, 7)",0.16013628620102216
"(4, 10, 7)",0.1567291311754685
"(4, 7, 7)",0.15502555366269166
"(5, 6, 9)",0.15332197614991483
"(1, 4, 2)",0.151618398637138
"(2, 8, 4)",0.151618398637138
"(3, 6, 5)",0.14991482112436116
"(4, 5, 7)",0.14991482112436116
"(3, 7, 5)",0.14991482112436116
"(2, 9, 4)",0.14821124361158433
"(3, 5, 5)",0.1465076660988075
"(6, 10, 10)",0.1465076660988075
"(5, 10, 8)",0.14480408858603067
"(1, 5, 2)",0.14480408858603067
"(6, 9, 10)",0.14480408858603067
"(2, 10, 4)",0.14480408858603067
"(6, 8, 10)",0.14310051107325383
"(3, 4, 5)",0.14310051107325383
"(5, 7, 8)",0.141396933560477
"(5, 8, 8)",0.141396933560477
"(1, 1, 2)",0.13969335604770017
"(3, 3, 7)",0.13969335604770017
"(3, 3, 8)",0.13969335604770017
"(3, 3, 9)",0.13969335604770017
"(3, 3, 10)",0.13969335604770017
"(5, 5, 10)",0.13969335604770017
"(1, 1, 5)",0.13969335604770017
"(1, 1, 4)",0.13969335604770017
"(1, 1, 3)",0.13969335604770017
"(2, 2, 5)",0.13969335604770017
"(2, 2, 4)",0.13969335604770017
"(3, 3, 6)",0.13969335604770017
"(1, 1, 10)",0.13969335604770017
"(1, 1, 9)",0.13969335604770017
"(4, 4, 8)",0.13969335604770017
"(1, 1, 6)",0.13969335604770017
"(4, 4, 9)",0.13969335604770017
"(4, 4, 10)",0.13969335604770017
"(2, 2, 10)",0.13969335604770017
"(2, 2, 9)",0.13969335604770017
"(2, 2, 8)",0.13969335604770017
"(1, 1, 7)",0.13969335604770017
"(1, 1, 8)",0.13969335604770017
"(2, 2, 7)",0.13969335604770017
"(2, 2, 6)",0.13969335604770017
"(5, 9, 8)",0.13798977853492334
"(3, 8, 5)",0.13798977853492334
"(6, 7, 10)",0.13798977853492334
"(3, 9, 5)",0.13458262350936967
"(5, 6, 8)",0.13287904599659284
"(2, 4, 3)",0.13287904599659284
"(4, 8, 6)",0.13287904599659284
"(4, 7, 6)",0.131175468483816
"(4, 9, 6)",0.131175468483816
"(5, 5, 9)",0.131175468483816
"(6, 10, 9)",0.131175468483816
"(2, 3, 3)",0.12947189097103917
"(4, 6, 6)",0.12947189097103917
"(4, 4, 7)",0.12947189097103917
"(6, 9, 9)",0.12947189097103917
"(3, 10, 5)",0.12776831345826234
"(6, 8, 9)",0.12776831345826234
"(4, 5, 6)",0.1260647359454855
"(7, 10, 10)",0.1260647359454855
"(5, 8, 7)",0.12436115843270869
"(6, 6, 10)",0.12436115843270869
"(3, 3, 5)",0.12436115843270869
"(5, 9, 7)",0.12265758091993186
"(2, 5, 3)",0.12265758091993186
"(7, 9, 10)",0.12265758091993186
"(7, 8, 10)",0.12265758091993186
"(4, 10, 6)",0.12265758091993186
"(6, 7, 9)",0.12265758091993186
"(5, 5, 8)",0.12095400340715502
"(1, 6, 2)",0.12095400340715502
"(5, 6, 7)",0.11925042589437819
"(5, 7, 7)",0.11925042589437819
"(5, 10, 7)",0.11925042589437819
"(6, 6, 9)",0.11584327086882454
"(4, 4, 6)",0.11584327086882454
"(5, 4, 9)",0.11584327086882454
"(2, 2, 3)",0.11584327086882454
"(5, 4, 10)",0.11584327086882454
"(1, 7, 2)",0.11584327086882454
"(6, 10, 8)",0.1141396933560477
"(1, 8, 2)",0.1141396933560477
"(3, 5, 4)",0.1141396933560477
"(6, 7, 8)",0.11243611584327087
"(6, 8, 8)",0.11243611584327087
